Sl. No,UdiseCode,SchName,School Management,School Category ,District Name,Block Name,Cluster Name,Village Name,SchLocation,Schtype,"Building Status (1-Private Owned, 2-Rented, 3-Government Owned, 4-Government School in a Rent free building, 5-NO
Building (Running in Open Place), 6-School Running in other Department Building)",Total Number of Building Blocks of the School,"Type of Boundary Wall (1-Pucca, 2-Pucca but broken, 3-Barbed wire fencing, 4-Hedges, 5-No boundary walls, 6-Others, 7-Partial,
8-Under Construction)",Dilapidated Building,Total Classrooms in Dilapidated Condition,Halls Avaible,Medical Facilities (Medical Rooms) Available,Store Room Available,"Minority managed school (1-Yes, 2-No)","Boundary wall type (1-Pucca, 2-Pucca but broken, 3- Barbed wire fencing, 4-Hedges, 5-No boundary walls, 6-Others, 7-Partial, 8-Under Construction)","Fire extinguisher available (1-Yes, 2-No)","Whether receiving free uniform (1-Yes, 2-No)","Whether receiving free Textbook for primary (1-Yes, 2-No)","Whether receiving free Textbook for upper Primary (1-Yes, 2-No)",Girls Activity Room Available ,Electricity connection Available,Ramp Available,"If yes, specify Ramp with Handrail or without Handrail",Sport Equiptment,Separate Room for Head Teacher/Principal Available,Staffroom For Teacher,Staff Quarters (Including Residential Quarters for Head Teacher/Principal and Asst. Head Teacher/Vice Principal),Total no of Class Rooms use for Instructional Purpose ,No. of classroom under construction,No. of Pucca classroom for in good condition,No. of Pucca classroom in  for major repair,No. of Pucca classroom in  for minor repair,No. of Partially Pucca classroom for  in good condition,No. of Partially Pucca classroom for  for minor repair,No. of Partially Pucca classroom for  for major repair,No. of Kuccha classroom for  in good condition,No. of Kuccha classroom for  for minor repairing,No. of Kuccha classroom for  for major repairing,Tent,Land is Available for Expansion of School Facilities,Boy toilet available,No of toilet for Boys,No of  Functional toilet for Boys,No of CWSN(Toilet)  for Boys,No of Functional CWSN (Toilet) for Boys,Girls toilet available,No of toilet for Girls,No of Functional toilet for Girls,No of CWSN(Toilet)  for Girls,No of Functional CWSN (Toilet) for Girls,Handwash facility,Hand washing Facility near Toilet,Hand washing Facility after Meals,Drinking Water Availability,Drinking Water Functional,Are there any rainwater harvesting structures implemented within the school campus? ,Has the school availed facilities provided under the Jal Jeevan Mission (JJM)?,Solar Panel ,Is your school equipped with Solar Panel for energy generation?,"         If Yes, specify whether they are  functional or not functional","Whether your school having Sanitary Pad vending Machine - For schools having Secondary and Higher Secondary Sections (1- Yes, 2- No, 3- Yes, but not functional, 4- NO, Pads available with Class Teachers, 9 Not Applicable)",Whether your school  having functional incinerator in girls toilets - For schools having Secondary and Higher Secondary Sections,Library Facility,Does the school have a designated Library room?,Does the School have book bank facility,"If yes, No of books are available",No of Librarians,No of Computers Available in the Library Room,Reading Corner Available,Power Backup Available ,Furniture Available,Playground Available,Separate Common Room For Girls ,Co-Curricular Activity Room/Arts And Crafts Room ,Integrated Science Laboratory for Secondary Details ,No of Room Available,Maths Lab for Secondary Details ,No of Room Available ,Physics Laboratory for Higher Secondary ,No of Room Available ,Chemistry Laboratory for Higher Secondary ,No of Room Available ,Biology Laboratory  for Higher Secondary,No of Room Available ,Library Room,No of Books avaialble,Computer Room ,No of computer ,Tinkering Lab,"Internet Facility available in school (1-Yes, 2-No)","Smart classroom available in school (1-Yes, 2-No)",No of Smart classroom,ICT Lab Available,ICTLab Functional, Total Number of Desktops/Laptops ,Total Number of functional desktops,Total Number of functional Laptops,Total Number of functional Tablets,Total Number of functional digital boards,Total Number of functional projectors,Hostel Facilities for Boys,Does the school have hostel facilities for Boys?,Intake capacity,No of students are currently residing in the hostel,Hostel Facilities for Girls,Does the school have hostel facilities for Girls?,Intake capacity,No of students are currently residing in the hostel
21,17070115312,PRESBYTERIAN WOMEN UP NIGHT SCHOOL,Private Unaided,2 - Primary with Upper Primary,WEST JAINTIA HILLS-1707,THADLASKEIN-170701,IONGPIAH CRC-1707010006,Mission Compound - Ward No.8,Urban,Co-ed,2,1,5,0,0,,,,2,5,2,No,No,No,No,Yes,No,Not applicable,No,No,No,No,10,0,10,0,0,0,0,0,0,0,0,0,No,Yes,3,3,0,0,Yes,3,3,0,0,No,No,No,Yes,Yes,No,,No,,,2,0,No,No,No,0,,,No,,Yes for all,Yes,No,No,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,No,0,Not Applicable,0,Not Applicable,2,2,0,No,Not Applicable,0,0,0,0,0,0,,No,,0,,No,,0
22,17070115313,JOWAI PRESBYTERIAN SECONDARY SCHOOL- JOWAI,Government Aided,8 - Secondary Only,WEST JAINTIA HILLS-1707,THADLASKEIN-170701,IONGPIAH CRC-1707010006,Mission Compound - Ward No.8,Urban,Co-ed,1,1,6,0,0,,,,1,6,1,Yes,N/A,N/A,Yes,Yes,No,Not applicable,No,Yes,Yes,No,4,0,4,0,0,0,0,0,0,0,0,0,No,Yes,3,3,0,0,Yes,3,3,0,0,Yes,Yes,Yes,Yes,Yes,No,,No,,,3,0,Yes,Yes,No,0,,,Yes,,Yes for all,Yes,Yes,Yes,Yes,,Not Applicable,,Not Applicable,,Not Applicable,,Yes,,Yes,700,Not Applicable,12,Yes,1,1,2,Yes,Not Applicable,10,7,0,0,1,0,,No,,0,,No,,0
23,17070115314,PRESBYTERIAN WOMEN SECONDARY NIGHT SCHOOL,Private Unaided,8 - Secondary Only,WEST JAINTIA HILLS-1707,THADLASKEIN-170701,IONGPIAH CRC-1707010006,Mission Compound - Ward No.8,Urban,Co-ed,1,1,5,0,0,,,,2,5,2,No,N/A,N/A,No,Yes,No,Not applicable,No,No,No,No,2,0,2,0,0,0,0,0,0,0,0,0,No,Yes,3,3,0,0,Yes,3,3,0,0,Yes,Yes,No,Yes,Yes,No,,No,,,2,0,No,No,No,0,,,No,,Yes for all,Yes,No,No,No,,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,No,0,Not Applicable,0,No,2,2,0,No,Not Applicable,0,0,0,0,0,0,,No,,0,,No,,0
24,17070115405,SEINRAIJ  SECONDARY SCHOOL- JOWAI,Government Aided,8 - Secondary Only,WEST JAINTIA HILLS-1707,THADLASKEIN-170701,IONGPIAH CRC-1707010006,Lulong - Ward No.10,Urban,Co-ed,1,1,1,0,0,,,,1,1,1,Yes,N/A,N/A,No,Yes,No,Not applicable,Yes,Yes,Yes,No,4,0,4,0,0,0,0,0,0,0,0,0,Yes,Yes,1,1,0,0,Yes,1,1,0,0,Yes,No,Yes,Yes,Yes,No,,No,,,3,0,Yes,Yes,No,0,,,Yes,,Yes for all,Yes,No,Yes,Yes,,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,Yes,1500,Not Applicable,25,No,1,1,2,Yes,Not Applicable,22,22,1,0,2,2,,No,,0,,No,,0
25,17070115408,DULONG EVENING SCHOOL- JOWAI,Private Unaided,6 - Pr. Up Pr. and Secondary Only,WEST JAINTIA HILLS-1707,THADLASKEIN-170701,PYNTHOR LANGTEIN CRC-1707010006,Lulong - Ward No.10,Urban,Co-ed,2,2,6,0,0,,,,2,6,2,No,No,No,No,Yes,No,Not applicable,No,No,Yes,No,10,0,9,0,0,1,0,0,0,0,0,0,No,Yes,1,1,0,0,Yes,1,1,0,0,No,No,No,Yes,Yes,No,,No,,,2,0,No,No,No,0,,,No,,Yes for all,Yes,No,No,No,,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,No,0,Not Applicable,0,No,2,2,0,No,Not Applicable,0,0,0,0,0,0,,No,,0,,No,,0
26,17070115409,SEINRAIJ LPS JOWAI,Government Aided,1 - Primary,WEST JAINTIA HILLS-1707,THADLASKEIN-170701,IONGPIAH CRC-1707010006,Lulong - Ward No.10,Urban,Co-ed,1,1,1,0,0,,,,2,1,1,Yes,Yes,N/A,No,Yes,No,Not applicable,No,No,Yes,No,7,0,0,0,7,0,0,0,0,0,0,0,Yes,Yes,1,1,0,0,Yes,1,1,0,0,Yes,Yes,Yes,Yes,Yes,No,,Yes but not functional,,,2,0,No,No,No,0,,,No,,Yes for all,No,No,No,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,No,0,Not Applicable,0,Not Applicable,1,2,0,No,Not Applicable,0,0,0,0,0,0,,No,,0,,No,,0
27,17070200213,LUMPDANG DCLPS,Government Aided,1 - Primary,WEST JAINTIA HILLS-1707,LASKEIN-170702,MOWKAIAW CRC-1707010006,Mootyrshiah A,Rural,Co-ed,1,1,5,0,0,,,,2,5,2,No,Yes,N/A,No,No,No,Not applicable,No,No,No,No,4,0,0,0,0,4,0,0,0,0,0,0,Yes,Yes,1,0,0,0,Yes,1,0,0,0,No,No,No,Yes,Yes,No,,No,,,2,0,No,No,No,0,,,No,,Yes for all,No,No,No,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,No,0,Not Applicable,0,Not Applicable,2,2,0,No,Not Applicable,0,0,0,0,0,0,,No,,0,,No,,0
28,17070200705,PAMRIANG SSA L.P SCHOOL,Government,1 - Primary,WEST JAINTIA HILLS-1707,LASKEIN-170702,MADANRWAN CRC-1707010006,Niawkmai,Rural,Co-ed,4,1,5,0,0,,,,2,5,2,Yes,Yes,N/A,No,No,Yes,No,No,No,No,No,3,0,0,0,0,2,1,0,0,0,0,0,Yes,Yes,1,1,0,0,No,0,0,0,0,No,No,No,No,No,No,,No,,,2,0,Yes,No,Yes,8,,,Yes,,Yes for all,No,No,No,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,No,40,Not Applicable,0,Not Applicable,2,2,0,No,Not Applicable,0,0,0,0,0,0,,No,,0,,No,,0
29,17070200803,ST. HILARIUS RCLPS LASKEIN,Government Aided,1 - Primary,WEST JAINTIA HILLS-1707,LASKEIN-170702,LASKEIN CRC-1707010006,Laskein,Rural,Co-ed,3,2,1,0,2,,,,2,1,1,Yes,Yes,N/A,No,No,No,Not applicable,No,No,No,No,4,0,2,0,0,1,1,0,0,0,0,0,Yes,Yes,1,1,0,0,Yes,1,1,0,0,No,No,No,No,No,No,,No,,,2,0,No,No,No,0,,,No,,Yes for all,Yes,No,No,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,No,0,Not Applicable,0,Not Applicable,2,2,0,No,Not Applicable,0,0,0,0,0,0,,No,,0,,No,,0
30,17070200807,DONGWAHSUNG LASKEIN LPS SSA,Government,1 - Primary,WEST JAINTIA HILLS-1707,LASKEIN-170702,LASKEIN CRC-1707010006,Laskein,Rural,Co-ed,3,1,4,0,0,,,,2,4,1,Yes,Yes,N/A,No,No,No,Not applicable,No,No,No,No,3,0,3,0,0,0,0,0,0,0,0,0,No,Yes,1,1,0,0,Yes,1,1,0,0,No,No,No,No,No,Yes,,No,,,2,0,Yes,No,No,0,,,Yes,,Yes for all,No,No,No,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,No,24,Not Applicable,0,Not Applicable,2,2,0,No,Not Applicable,0,0,0,0,0,0,,No,,0,,No,,0
31,17070200810,LASKEIN B NEINSHNONG LPS SSA,Government,1 - Primary,WEST JAINTIA HILLS-1707,LASKEIN-170702,LASKEIN CRC-1707010006,Laskein,Rural,Co-ed,3,1,5,0,0,,,,2,5,1,No,No,N/A,No,No,No,Not applicable,No,No,No,No,3,0,0,0,0,3,0,0,0,0,0,0,No,Yes,1,1,0,0,Yes,1,1,0,0,No,No,No,No,No,No,,No,,,2,0,No,No,No,0,,,Yes,,Yes for all,No,No,No,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,No,0,Not Applicable,0,Not Applicable,2,2,0,No,Not Applicable,0,0,0,0,0,0,,No,,0,,No,,0
32,17070200906,DAVID EDWARD UPS- MUKHAP,Government,4 - Upper Primary only,WEST JAINTIA HILLS-1707,LASKEIN-170702,LASKEIN CRC-1707010006,Mukhap,Rural,Co-ed,3,1,1,0,0,,,,2,1,2,Yes,N/A,Yes,No,No,No,Not applicable,No,Yes,No,No,4,0,4,0,0,0,0,0,0,0,0,0,No,Yes,1,1,0,0,Yes,2,2,0,0,Yes,Yes,No,No,No,Yes,,No,,,2,0,Yes,Yes,No,0,,,Yes,,Yes for all,No,No,No,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,Yes,150,Not Applicable,2,Not Applicable,1,2,0,No,Not Applicable,2,2,0,0,0,1,,No,,0,,No,,0
33,17070200911,IAIKYNTIEWLANG DCLPS- MUKHAP,Government Aided,1 - Primary,WEST JAINTIA HILLS-1707,LASKEIN-170702,LASKEIN CRC-1707010006,Mukhap,Rural,Co-ed,3,1,5,0,0,,,,2,5,2,No,No,N/A,No,No,No,Not applicable,No,No,No,No,1,0,1,0,0,0,0,0,0,0,0,0,No,No,0,0,0,0,No,0,0,0,0,No,No,No,No,No,No,,No,,,2,0,No,No,No,0,,,No,,Yes for all,No,No,No,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,No,0,Not Applicable,0,Not Applicable,2,2,0,No,Not Applicable,0,0,0,0,0,0,,No,,0,,No,,0
34,17070200913,MUKHAP SECONDARY SCHOOL,Private Unaided,8 - Secondary Only,WEST JAINTIA HILLS-1707,LASKEIN-170702,LASKEIN CRC-1707010006,Mukhap,Rural,Co-ed,1,2,1,0,0,,,,2,1,1,No,N/A,N/A,No,No,No,Not applicable,No,No,Yes,No,3,0,3,0,0,0,0,0,0,0,0,0,Yes,Yes,1,1,0,0,Yes,1,1,0,0,No,No,No,No,No,Yes,,No,,,2,0,Yes,Yes,No,0,,,No,,Yes for all,Yes,No,No,Yes,,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,Yes,32,Not Applicable,0,No,2,2,0,No,Not Applicable,0,0,0,0,0,0,,No,,0,,No,,0
35,17070200914,LUMLIHOI UPPER PRIMARY SCHOOL SSA,Government,4 - Upper Primary only,WEST JAINTIA HILLS-1707,LASKEIN-170702,LASKEIN CRC-1707010006,Mukhap,Rural,Co-ed,3,1,6,0,0,,,,2,6,1,Yes,N/A,Yes,No,No,Yes,Yes,Yes,No,No,No,3,0,3,0,0,0,0,0,0,0,0,0,Yes,No,0,0,0,0,Yes,1,1,0,0,No,No,No,No,No,No,,No,,,2,0,Yes,No,Yes,19,,,No,,Yes for all,Yes,No,No,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,No,10,Not Applicable,0,Not Applicable,2,2,0,No,Not Applicable,0,0,0,0,0,0,,No,,0,,No,,0
36,17070201504,RALIANG RIATSOHPRIAM GOVT LPS,Government,1 - Primary,WEST JAINTIA HILLS-1707,LASKEIN-170702,RALIANG CRC-1707010006,Raliang,Rural,Co-ed,3,1,1,0,0,,,,2,1,1,Yes,Yes,N/A,No,No,No,Not applicable,No,No,No,No,3,0,0,0,3,0,0,0,0,0,0,0,No,Yes,1,0,0,0,Yes,1,0,0,0,No,No,No,No,No,No,,No,,,2,0,Yes,No,No,0,,,No,,Yes for all,No,No,No,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,No,30,Not Applicable,0,Not Applicable,2,2,0,No,Not Applicable,0,0,0,0,0,0,,No,,0,,No,,0
37,17070201505,RALIANG DONG LUMSEHKOT LPS,Government,1 - Primary,WEST JAINTIA HILLS-1707,LASKEIN-170702,RALIANG CRC-1707010006,Raliang,Rural,Co-ed,3,1,5,0,0,,,,2,5,1,Yes,Yes,N/A,No,No,Yes,Yes,No,No,No,No,5,1,3,0,2,0,0,0,0,0,0,0,No,Yes,1,0,0,0,Yes,1,1,0,0,No,No,No,No,No,No,,No,,,2,0,No,No,No,0,,,No,,Yes for all,No,No,No,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,No,0,Not Applicable,0,Not Applicable,2,2,0,No,Not Applicable,0,0,0,0,0,0,,No,,0,,No,,0
38,17070201508,IAKITLANG DCLPS RALIANG,Government Aided,1 - Primary,WEST JAINTIA HILLS-1707,LASKEIN-170702,RALIANG CRC-1707010006,Raliang,Rural,Co-ed,1,1,5,0,0,,,,2,5,1,No,No,N/A,No,No,No,Not applicable,No,No,No,No,2,0,2,0,0,0,0,0,0,0,0,0,No,No,0,0,0,0,No,0,0,0,0,No,No,No,Yes,Yes,No,,No,,,2,0,No,No,No,0,,,No,,Yes for all,No,No,No,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,No,0,Not Applicable,0,Not Applicable,2,2,0,No,Not Applicable,0,0,0,0,0,0,,No,,0,,No,,0
39,17070201509,DONBOSCO RALIANG LPS,Government,1 - Primary,WEST JAINTIA HILLS-1707,LASKEIN-170702,RALIANG CRC-1707010006,Raliang,Rural,Co-ed,3,1,5,0,0,,,,2,5,1,Yes,Yes,N/A,No,No,No,Not applicable,No,No,Yes,No,6,0,6,0,0,0,0,0,0,0,0,0,Yes,Yes,1,1,0,0,Yes,1,1,0,0,Yes,Yes,No,No,No,No,,No,,,2,0,Yes,No,No,0,,,No,,Yes for all,Yes,No,Yes,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,No,65,Not Applicable,0,Not Applicable,2,2,0,No,Not Applicable,0,0,0,0,0,0,,No,,0,,No,,0
40,17070202204,ANGEL GRACE ENGLISH SCHOOL RTIANG,Private Unaided,1 - Primary,WEST JAINTIA HILLS-1707,LASKEIN-170702,MOWKAIAW CRC-1707010006,Rtiang,Rural,Co-ed,1,1,5,0,0,,,,2,5,2,No,No,N/A,No,No,No,Not applicable,No,No,No,No,7,0,7,0,0,0,0,0,0,0,0,0,No,Yes,1,0,0,0,Yes,1,1,0,0,No,No,No,No,No,Yes,,No,,,2,0,No,No,No,0,,,No,,Yes for all,No,No,No,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,No,0,Not Applicable,0,Not Applicable,2,2,0,No,Not Applicable,0,0,0,0,0,0,,Yes,,0,,Yes,,0
41,17070202301,BIAR GOVT LPS,Government,1 - Primary,WEST JAINTIA HILLS-1707,LASKEIN-170702,RALIANG CRC-1707010006,Biar,Rural,Co-ed,3,2,5,0,0,,,,2,5,1,Yes,Yes,N/A,No,No,Yes,Yes,No,No,No,No,7,0,0,0,0,4,0,3,0,0,0,0,Yes,Yes,1,0,0,0,Yes,1,1,1,1,Yes,No,Yes,Yes,Yes,No,,No,,,2,0,Yes,No,No,0,,,No,,Partial,No,No,No,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,No,50,Not Applicable,0,Not Applicable,2,2,0,No,Not Applicable,0,0,0,0,0,0,,No,,0,,No,,0
42,17070202302,BIAR SSA U.P SCHOOL,Government,4 - Upper Primary only,WEST JAINTIA HILLS-1707,LASKEIN-170702,RALIANG CRC-1707010006,Biar,Rural,Co-ed,3,1,5,0,0,,,,2,5,1,Yes,N/A,Yes,No,No,No,Not applicable,No,No,No,No,3,0,3,0,0,0,0,0,0,0,0,0,Yes,Yes,1,0,0,0,Yes,1,1,0,0,Yes,No,Yes,No,No,No,,No,,,2,0,Yes,No,No,0,,,No,,Yes for all,No,No,No,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,No,35,Not Applicable,0,Not Applicable,2,2,0,No,Not Applicable,0,0,0,0,0,0,,No,,0,,No,,0
43,17070202303,COURAGE L.P SCHOOL,Private Unaided,1 - Primary,WEST JAINTIA HILLS-1707,LASKEIN-170702,MOWKAIAW CRC-1707010006,Biar,Rural,Co-ed,1,1,5,0,2,,,,2,5,2,No,No,N/A,No,No,No,Not applicable,No,No,No,No,6,0,0,0,0,0,0,0,1,5,0,0,Yes,No,0,0,0,0,No,0,0,0,0,No,No,No,No,No,No,,No,,,2,0,No,No,No,0,,,No,,Yes for all,Yes,No,No,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,No,0,Not Applicable,0,Not Applicable,2,2,0,No,Not Applicable,0,0,0,0,0,0,,No,,0,,No,,0
44,17070202501,SHANGPUNG PRES LPS,Government Aided,1 - Primary,WEST JAINTIA HILLS-1707,LASKEIN-170702,SHANGPUNG CRC-1707010006,Shangpung Misssion,Rural,Co-ed,3,2,1,0,0,,,,2,1,1,No,Yes,N/A,No,Yes,No,Not applicable,No,Yes,Yes,No,6,0,6,0,0,0,0,0,0,0,0,0,No,Yes,1,1,0,0,Yes,1,1,0,0,Yes,Yes,Yes,Yes,Yes,No,,Yes,,,2,0,No,No,No,0,,,No,,Yes for all,No,No,No,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,No,0,Not Applicable,0,Not Applicable,2,2,0,No,Not Applicable,0,0,0,0,0,0,,No,,0,,No,,0
45,17070202503,ALBERT IAKAI MEMO LPS SHANGPUNG,Government Aided,1 - Primary,WEST JAINTIA HILLS-1707,LASKEIN-170702,SHANGPUNG CRC-1707010006,Shangpung Misssion,Rural,Co-ed,3,1,6,0,0,,,,2,6,1,Yes,Yes,N/A,No,No,No,Not applicable,Yes,No,No,No,4,2,0,0,0,2,2,0,0,0,0,0,No,No,0,0,0,0,Yes,1,1,0,0,Yes,No,Yes,Yes,Yes,No,,No,,,2,0,No,No,No,0,,,No,,Yes for all,No,No,No,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,No,0,Not Applicable,0,Not Applicable,2,2,0,No,Not Applicable,0,0,0,0,0,0,,No,,0,,No,,0
46,17070202512,ALBERT IAKAI MEMORIAL UPS,Government,4 - Upper Primary only,WEST JAINTIA HILLS-1707,LASKEIN-170702,SHANGPUNG CRC-1707010006,Shangpung Misssion,Rural,Co-ed,3,1,1,0,0,,,,2,1,1,No,N/A,Yes,No,No,No,Not applicable,Yes,No,No,No,3,0,3,0,0,0,0,0,0,0,0,0,No,Yes,1,1,0,0,No,0,0,0,0,Yes,Yes,Yes,Yes,Yes,No,,No,,,2,0,Yes,No,No,0,,,Yes,,Yes for all,No,No,No,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,No,146,Not Applicable,0,Not Applicable,2,2,0,No,Not Applicable,0,0,0,0,0,0,,No,,0,,No,,0
47,17070202514,SHANGPUNG PRESBYTERIAN HIGHER SECONDARY SCHOOL,Government Aided,10 - Secondary with Higher Secondary,WEST JAINTIA HILLS-1707,LASKEIN-170702,SHANGPUNG CRC-1707010006,Shangpung Misssion,Rural,Co-ed,1,2,1,0,0,,,,2,1,1,No,N/A,N/A,No,Yes,No,Not applicable,No,Yes,Yes,No,8,0,8,0,0,0,0,0,0,0,0,0,No,Yes,6,6,0,0,Yes,8,8,0,0,Yes,Yes,Yes,Yes,Yes,Yes,,No,,,2,0,No,Yes,No,0,,,No,,Yes for all,No,No,Yes,Yes,,No,,Yes,,Yes,,Yes,,Yes,0,No,22,No,1,2,0,No,Not Applicable,20,18,0,0,0,2,,No,,0,,No,,0
48,17070202604,HULA UPS MOSYIEM,Government,4 - Upper Primary only,WEST JAINTIA HILLS-1707,LASKEIN-170702,SHANGPUNG CRC-1707010006,Shangpung Moosyiem,Rural,Co-ed,3,1,5,0,0,,,,2,5,1,Yes,N/A,Yes,No,No,No,Not applicable,No,No,No,No,3,0,3,0,0,0,0,0,0,0,0,0,Yes,Yes,1,1,0,0,Yes,1,1,0,0,No,No,No,No,No,No,,No,,,2,0,Yes,No,No,0,,,No,,Yes for all,No,No,No,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,No,65,Not Applicable,0,Not Applicable,2,2,0,No,Not Applicable,0,0,0,0,0,0,,No,,0,,No,,0
49,17070202701,LUMMUROO UPS,Government Aided,4 - Upper Primary only,WEST JAINTIA HILLS-1707,LASKEIN-170702,SHANGPUNG CRC-1707010006,Shangpung Pohshnong,Rural,Co-ed,1,1,7,0,0,,,,2,7,2,Yes,N/A,Yes,No,Yes,No,Not applicable,No,Yes,Yes,No,3,0,3,0,0,0,0,0,0,0,0,0,No,Yes,1,1,0,0,Yes,1,1,0,0,No,No,No,Yes,Yes,No,,No,,,2,0,No,Yes,No,0,,,No,,Yes for all,No,No,No,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,Yes,0,Not Applicable,0,Not Applicable,2,2,0,No,Not Applicable,0,0,0,0,0,0,,No,,0,,No,,0
50,17070202703,SHANGPUNG LUMRANGNAH GOVT LPS,Government,1 - Primary,WEST JAINTIA HILLS-1707,LASKEIN-170702,SHANGPUNG CRC-1707010006,Shangpung Pohshnong,Rural,Co-ed,3,1,1,0,0,,,,2,1,1,Yes,Yes,N/A,No,No,No,Not applicable,No,No,No,No,5,0,5,0,0,0,0,0,0,0,0,0,Yes,No,0,0,0,0,No,0,0,0,0,No,No,No,Yes,Yes,No,,No,,,2,0,Yes,No,No,0,,,No,,Yes for all,No,No,No,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,No,30,Not Applicable,0,Not Applicable,2,2,0,No,Not Applicable,0,0,0,0,0,0,,No,,0,,No,,0
51,17070202706,ST HUBERT RCLPS,Government Aided,1 - Primary,WEST JAINTIA HILLS-1707,LASKEIN-170702,SHANGPUNG CRC-1707010116,Shangpung Pohshnong,Rural,Co-ed,1,1,5,1,4,,,,2,5,1,No,No,N/A,No,No,No,Not applicable,No,No,No,No,4,0,0,0,0,0,0,4,0,0,0,0,Yes,No,0,0,0,0,No,0,0,0,0,No,No,No,No,No,No,,No,,,2,0,No,No,No,0,,,No,,Yes for all,No,No,No,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,No,0,Not Applicable,0,Not Applicable,2,2,0,No,Not Applicable,0,0,0,0,0,0,,No,,0,,No,,0
52,17070202707,LUMMUCHAI LPS SSA,Government,1 - Primary,WEST JAINTIA HILLS-1707,LASKEIN-170702,SHANGPUNG CRC-1707010006,Shangpung Pohshnong,Rural,Co-ed,3,1,5,0,0,,,,2,5,2,Yes,Yes,N/A,No,No,No,Not applicable,No,No,No,No,3,0,3,0,0,0,0,0,0,0,0,0,Yes,Yes,1,1,0,0,Yes,1,1,0,0,No,No,No,No,No,No,,No,,,2,0,Yes,No,No,0,,,Yes,,Yes for all,No,No,No,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,No,65,Not Applicable,0,Not Applicable,2,2,0,No,Not Applicable,0,0,0,0,0,0,,No,,0,,No,,0
53,17070204015,BARATO WAHSHNONG LPS,Government Aided,1 - Primary,WEST JAINTIA HILLS-1707,LASKEIN-170702,BARATO CRC-1707010006,Barato,Rural,Co-ed,3,1,5,0,0,,,,2,5,2,No,Yes,N/A,No,No,No,Not applicable,No,No,No,No,2,0,0,0,0,0,1,1,0,0,0,0,No,Yes,1,1,0,0,Yes,1,1,0,0,No,No,No,No,No,No,,No,,,2,0,No,No,No,0,,,No,,Yes for all,No,No,No,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,No,0,Not Applicable,0,Not Applicable,2,2,0,No,Not Applicable,0,0,0,0,0,0,,No,,0,,No,,0
54,17070204016,PERSARA PRES LPS BARATO,Private Unaided,1 - Primary,WEST JAINTIA HILLS-1707,LASKEIN-170702,BARATO CRC-1707010006,Barato,Rural,Co-ed,5,1,5,0,0,,,,2,5,2,No,No,N/A,No,No,No,Not applicable,No,No,No,No,3,0,0,0,0,0,0,3,0,0,0,0,No,No,0,0,0,0,No,0,0,0,0,No,No,No,No,No,No,,No,,,2,0,No,No,No,0,,,No,,Yes for all,No,No,No,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,No,0,Not Applicable,0,Not Applicable,2,2,0,No,Not Applicable,0,0,0,0,0,0,,No,,0,,No,,0
